;Номер Сборочного   ;Имя Сборочного;Состав Сборочного;Дата обновления;Чертеж Сборочного;Адрес папки;Дата чертежа;;;;;;;
;С20.01.15.000А СБ;Бункер выгрузной С20;"ЗЖ 00.00.009 | Ось 14х22 | 4
С20.01.15.001А | Стенка боковая | 2
С20.01.15.002А | Стенка торцевая | 2
С20.01.15.003А | Ребро торцевое | 1
С20.01.15.003А-01 | Ребро торцевое | 1
С20.01.15.004А | Усиление люка длинное | 2
С20.01.15.004А-01 | Усиление люка длинное | 2
С20.01.15.005А | Усиление люка короткое | 4
С20.01.15.006А | Ребро | 6
С20.01.15.007А | Ухо | 4
С20.01.15.100А СБ | Фланец соединительный | 1
С20.01.15.200А СБ | Люк | 2
";28.07.2025 13:55;;;;;;;;;;
;С20.01.15.000А-02 СБ;Бункер выгрузной С80;"ЗЖ 00.00.009 | Ось 14х22 | 4
С20.01.15.001А | Стенка боковая | 2
С20.01.15.002А | Стенка торцевая | 2
С20.01.15.003А | Ребро торцевое | 1
С20.01.15.003А-01 | Ребро торцевое | 1
С20.01.15.004А | Усиление люка длинное | 2
С20.01.15.004А-01 | Усиление люка длинное | 2
С20.01.15.005А | Усиление люка короткое | 4
С20.01.15.006А | Ребро | 6
С20.01.15.007А | Ухо | 4
С20.01.15.100А-02 СБ | Фланец соединительный | 1
С20.01.15.200А СБ | Люк | 2
";28.07.2025 14:15;;;;;;;;;;
;С20.01.15.100А СБ;Фланец соединительный;"С20.01.15.101А | Фланец боковой | 2
С20.01.15.102А | Фланец торцевой | 2
";28.07.2025 13:55;С20.01.15.100А СБ Фланец соединительный.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.01.00.000А СБ Шахта С20\С20.01.15.000А (-02) СБ Бункер выгрузной\С20.01.15.100А (-02) СБ Фланец соединительный;24.10.2018 7:54;;;;;;;
;С20.01.15.100А-02 СБ;Фланец соединительный;"С20.01.15.101-02А | Фланец боковой | 2
С20.01.15.102А | Фланец торцевой | 2
";28.07.2025 14:15;;;;;;;;;;
;С20.01.15.200А СБ;Люк;"С20.01.15.201А | Лист люка | 1
С20.01.15.202А | Ухо люка | 2
";28.07.2025 14:15;С20.01.15.200А СБ Люк.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.01.00.000А СБ Шахта С20\С20.01.15.000А (-02) СБ Бункер выгрузной\С20.01.15.200А СБ Люк;12.12.2018 9:13;;;;;;;
;С20.04.01.400 СБ;Патрубок;"С20.04.01.401 | Фланец | 1
С20.04.01.401-01 | Фланец | 1
С20.04.01.402 | Лист 2,0 | 2
";28.07.2025 11:39;С20.04.01.400 СБ Патрубок.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.04.00.000-02 СБ Подводящий канал\С20.04.01.000-02 СБ Секция №1\С20.04.01.1000 СБ Каркас\С20.04.01.400 СБ Патрубок;21.05.2025 11:12;;;;;;;
;С20.04.01.400-01 СБ;Патрубок;"С20.04.01.401 | Фланец | 2
С20.04.01.402 | Лист 2,0 | 2
";26.06.2025 15:39;;;;;;;;;;
;С20.05.00.000-01 СБ;Пирамида;"С20.05.00.001 | Лист 1,0 | 2
С20.05.00.002 | Лист 1,0 | 1
С20.05.00.003 | Лист № 1 | 2
С20.05.00.004 | Лист № 2 | 2
С20.05.00.005 | Лист № 3 | 1
С20.05.00.013 | Уголок № 1 | 1
С20.05.00.013-01 | Уголок № 1 | 1
С20.05.00.014 | Лист оц № 1 | 1
С20.05.00.015 | Лист оц № 2 | 1
С20.05.00.015-01 | Лист оц № 2 | 1
С20.05.00.016 | Лист оц № 3 | 1
С20.05.00.016-01 | Лист оц № 3 | 1
С20.05.00.017 | Лист оц № 4 | 1
С20.05.00.018 | Лист оц № 5 | 1
С20.05.00.019 | Лист оц № 6 | 1
С20.05.00.019-01 | Лист оц № 6 | 1
С20.06.01.010 | Ухо | 2
С20.05.01.000 СБ | Каркас пирамиды | 1
С20.05.02.000 СБ | Патрубок | 1
";28.07.2025 15:47;С20.05.00.000-01 СБ Пирамида.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.05.00.000-01 СБ Пирамида;24.08.2017 16:20;;;;;;;
;С20.05.01.000 СБ;Каркас пирамиды;"С20.05.01.001 | Труба 40х40 | 2
С20.05.01.002 | Труба 40х40 | 2
С20.05.01.003 | Уголок № 1 | 1
С20.05.01.003-01 | Уголок № 1 | 1
С20.05.01.004 | Труба № 1 | 1
С20.05.01.005 | Труба 40х40 | 2
С20.05.01.006 | Труба № 2 | 6
С20.05.01.007 | Труба 40х40 | 2
С20.05.01.008 | Труба 40х40 | 2
С100.04.03.003А | Кронштейн | 10
С20.01.01.107А | Кронштейн | 8
С20.05.01.009 | Шинка | 1
";28.07.2025 15:47;С20.05.01.000 СБ Каркас пирамиды.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.05.00.000-01 СБ Пирамида\С20.05.01.000 СБ Каркас пирамиды;18.02.2020 15:41;;;;;;;
;С20.05.02.000 СБ;Патрубок;"С20.05.02.001 | Фланец | 2
С20.05.02.002 | Лист 2,0 | 2
";28.07.2025 15:47;С20.05.02.000 СБ Патрубок.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.05.00.000-01 СБ Пирамида\С20.05.02.000 СБ Патрубок;04.03.2015 8:42;;;;;;;
;С20.06.05.000 СБ;Рассечка;"С20.06.05.001 | Рассекатель | 1
С20.06.05.003 | Торцевая стенка | 2
С20.06.05.004 | Лапа | 4
";28.07.2025 14:11;С20.06.05.000 СБ - Рассечка.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.06.00.000-01 СБ Бункер\С20.06.05.000 СБ - Рассечка;04.03.2015 8:50;;;;;;;
;С20.06.06.000 СБ;Люк;"С20.06.03.003 | Полушарнир № 1 | 2
С20.06.04.002 | Полушарнир № 2 | 2
С20.06.06.100 СБ | Крышка люка | 1
С20.06.06.200 СБ | Короб люка | 1
";28.07.2025 14:11;С20.06.06.000 СБ - Люк.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.06.00.000-01 СБ Бункер\С20.06.06.000 СБ Люк;31.08.2017 9:53;;;;;;;
;С20.06.06.100 СБ;Крышка люка;"С20.06.06.101 | Лист № 1 | 1
С20.06.06.102 | Шинка 2х20 | 2
";28.07.2025 14:11;С20.06.06.100 СБ - Крышка люка.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.06.00.000-01 СБ Бункер\С20.06.06.000 СБ Люк\С20.06.06.100 СБ - Крышка люка;31.08.2017 9:56;;;;;;;
;С20.06.06.200 СБ;Короб люка;"С20.06.06.201А | Рамка | 4
";28.07.2025 14:11;С20.06.06.200 СБ - Короб люка.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.06.00.000-01 СБ Бункер\С20.06.06.000 СБ Люк\С20.06.06.200 СБ - Короб люка;22.08.2017 10:59;;;;;;;
;С20.10.00.000 СБ;Зернопровод С-20;"С20.10.00.001 | Переходник | 1
ЗС 200.01.00.000 СБ | Труба 200 в сборе | 1
С20.10.02.000 СБ | Труба | 1
С20.10.02.000-01 СБ | Труба | 1
С20.10.03.000 СБ | Колено | 2
";26.06.2025 15:26;С20.10.00.000 СБ ЗернопроводС20.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.10.00.000 СБ Зернопровод;17.02.2021 11:14;;;;;;;
;С20.10.02.000 СБ;Труба;"С20.10.02.001 | Труба | 1
ЗС 200.01.00.100 СБ | Фланец 200 | 2
";26.06.2025 15:26;С20.10.02.000 СБ Труба .cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.10.00.000 СБ Зернопровод\С20.10.02.000 СБ Труба;27.10.2020 10:29;;;;;;;
;С20.10.02.000-01 СБ;Труба;"С20.10.02.001-01 | Труба | 1
ЗС 200.01.00.100 СБ | Фланец 200 | 2
";26.06.2025 15:26;;;;;;;;;;
;С20.10.03.000 СБ;Колено;"С20.10.03.001 | Секция №1 | 2
С20.10.03.002 | Секция №2 | 1
ЗС 200.01.00.100 СБ | Фланец 200 | 2
";26.06.2025 15:26;С20.10.03.000 СБ Колено .cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.10.00.000 СБ Зернопровод\С20.10.03.000 СБ Колено;27.10.2020 10:29;;;;;;;
;С20.12.00.000 СБ;Компенсатор;"С20.12.00.002 | Труба №1 | 1
С20.12.00.003 | Труба №2 | 2
С20.12.01.000 СБ | Фланец | 2
";26.06.2025 15:57;С20.12.00.000 СБ - Компенсатор.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.12.00.000 СБ - Компенсатор;10.07.2023 11:00;;;;;;;
;С20.12.01.000 СБ;Фланец;"С20.12.01.001 | Сектор фланца | 3
";26.06.2025 15:57;С20.12.01.000 СБ Фланец.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.12.00.000 СБ - Компенсатор\С20.12.01.000 СБ Фланец;06.10.2021 13:15;;;;;;;
;С20.13.02.000 СБ;Дверь;"С20.13.02.001 | Поддон | 1
С20.13.02.002 | Боковина | 2
С20.13.02.003 | Ребро | 1
С20.13.02.004 | Лист | 1
";26.06.2025 15:57;С20.13.02.000 СБ Дверь.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.13.00.000-03 СБ Пультовая\С20.13.02.000 СБ Дверь;29.01.2018 14:32;;;;;;;
;С20.13.03.000 СБ;Дверца;"С20.13.03.001 | Поддон | 1
С20.13.03.002 | Боковина | 2
С20.13.03.003 | Ребро | 1
С20.13.03.004 | Лист | 1
";26.06.2025 15:57;С20.13.03.000 СБ - Дверца.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.13.00.000-03 СБ Пультовая\С20.13.03.000 СБ - Дверца;29.01.2018 14:38;;;;;;;
;С20.18.01.1000А СБ;Лестница № 1;"С10П.05.01.001 | Проступь | 8
С20.18.01.1001А | Стойка | 1
С20.18.01.1001А-01 | Стойка | 1
";23.07.2025 15:07;С20.18.01.1000А СБ Лестница №1.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.18.00.000А СБ Площадка норийная С20\С20.18.01.000А СБ Лестница площадки норийной\С20.18.01.100А Лестница;19.04.2018 15:14;;;;;;;
;С20.20.03.000 СБ;Площадка откидная;"С20.20.03.001 | Лист | 1
С20.20.03.002 | Опора | 2
С20.20.03.003 | Кронштейн | 2
С20.20.03.004 | Шпилька | 2
";24.07.2025 10:25;С20.20.03.000 СБ Площадка откидная.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.20.00.000 СБ Комплект лестниц С20\С20.20.03.000 СБ Площадка откидная;26.04.2018 23:27;;;;;;;
;С20.21.01.000А (-01) СБ;Воронка высокая;"С20.21.01.001 | Фланец большой | 1
С20.21.01.003А | Стенка №1 | 1
С20.21.01.004А | Стенка №2 | 1
С20.21.01.005А | Стенка №3 | 1
С20.21.01.006А | Стенка №4 | 1
С20.21.02.007А | Заслонка | 1
С20.21.02.008А | Рассекатель | 1
";26.06.2025 16:20;;;;;;;;;;
;С20.21.02.000А СБ;Воронка низкая;"С20.21.02.002А | Фланец | 1
С20.21.02.003А | Стенка №1 | 1
С20.21.02.004А | Стенка №2 | 1
С20.21.02.005А | Стенка №3 | 1
С20.21.02.006А | Стенка №4 | 1
С20.21.02.007А | Заслонка | 1
С20.21.02.008А | Рассекатель | 1
";26.06.2025 16:20;С20.21.02.000А СБ Воронка низкая.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.21.00.000 СБ Транспортер разгрузки С20;27.08.2019 14:40;;;;;;;
;С20.24.10.000 СБ;Логотип-Бренд;"С20.24.10.001 | Бренд | 1
С20.24.10.002 | Подложка | 1
";04.08.2025 8:04;С20.24.10.000 СБ Логотип - Бренд.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20.00.00.000А СБ\С20.24.00.000 Логотипы\С20.24.10.000 Логотип - Бренд;27.01.2023 14:57;;;;;;;
;С20.24.20.000-02 СБ;Логотип-Модель С-40;"С20.24.10.002 | Подложка | 1
С20.24.20.001-02 | Модель С-40 | 1
";29.07.2025 15:43;;;;;;;;;;
;"С20.24.20.000-02 СБ для С40
С20.24.20.000-05 СБ для С80";"Логотип-Модель С-40 для С40
Логотип-Модель С-80 для С80";"С20.24.10.002 | Подложка | 1
С20.24.20.001-02 для С40
С20.24.20.001-05 для С80 | Модель С-40 для С40
Модель С-80 для С80 | 1
";28.07.2025 11:39;;;;;;;;;;
;С20.24.20.000-05 СБ;Логотип-Модель С-80;"С20.24.10.002 | Подложка | 1
С20.24.20.001-05 | Модель С-80 для С80 | 1
";29.07.2025 15:44;;;;;;;;;;
;С20/10,40 18.02.000 СБ;Ограждение № 1;"НЗ-50А3 10.02.001 | Стойка промежуточная | 2
С20/10,40 18.02.001 | Перемычка | 2
С20/10,40 18.02.002 | Поручень | 1
";26.06.2025 15:56;С20(10,40 18.02.000 СБ - Ограждение №1.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20\С20(10,40 18.00.000 Площадка норийная С20 (НЗ10А3(НЗ40А3)\С20(10,40 18.02.000 - Ограждение №1;16.12.2020 7:56;;;;;;;
;С20/10,40 18.04.000 СБ;Ограждение № 3;"НЗ-50А3 10.02.001 | Стойка промежуточная | 1
С20/10,40 18.04.001 | Перемычка | 2
С20/10,40 18.04.002 | Поручень | 1
";26.06.2025 15:56;;;;;;;;;;
;"С20/10,40 18.04.000 СБ
С20/10,40 18.04.000-01 СБ";Ограждение № 3;"НЗ-50А3 10.02.001 | Стойка промежуточная | 1
С20/10,40 18.04.001 | Перемычка | 2
С20/10,40 18.04.002 | Поручень | 1
";26.06.2025 15:56;;;;;;;;;;
;С20/10,40 18.04.000-01 СБ;Ограждение № 3;"НЗ-50А3 10.02.001 | Стойка промежуточная | 1
С20/10,40 18.04.001 | Перемычка | 2
С20/10,40 18.04.002 | Поручень | 1
";26.06.2025 15:56;;;;;;;;;;
;С20П.02.02.200 СБ;Люк;"С20П.02.02.201 | Лист ОЦ 1,5 | 1
";26.06.2025 15:47;С20П.02.02.200 СБ Люк.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С20П\С20П.02.00.000 СБ Канал подвода\С20П.02.02.000 СБ Поддон нижний\С20П.02.02.200 СБ Люк;30.05.2019 13:47;;;;;;;
;С20П.03.04.300 СБ;Кронштейн заслонки;"С10П.03.01.002 | Косынка угловая | 3
С20П.03.04.301 | Основание | 1
С20П.03.04.303 | Усилитель | 1
";26.06.2025 15:53;;;;;;;;;;
;С20П.03.04.300-01 СБ;Кронштейн заслонки;"С10П.03.01.002 | Косынка угловая | 3
С20П.03.04.301-01 | Основание | 1
С20П.03.04.303 | Усилитель | 1
";26.06.2025 15:53;;;;;;;;;;
;С21.14.03.000 СБ;Мешкодержатель;"С20.14.03.001 | Ручка | 1
С20.14.03.003 | Скоба | 1
С20.14.03.004 | Ось | 1
С21.14.03.001 | Хомут | 1
";26.06.2025 16:38;С21.14.03.000 СБ Мешкодержатель.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С21.14.03.000 СБ Мешкодержатель;22.10.2013 9:30;;;;;;;
;С22.14.00.000-01 СБ;Циклон левый;"С22.14.00.001 | Планка | 4
С20.24.10.000 СБ | Логотип-Бренд | 2
С21.14.03.000 СБ | Мешкодержатель | 1
С22.14.02.000 СБ | Конус циклона | 1
С22.14.05.000 СБ | Стойка | 4
С22М.14.01.000-01 СБ | Цилиндр | 1
С22М.14.04.000 СБ | Рама | 1
";26.06.2025 16:38;;;;;;;;;;
;С22.14.01.120 СБ;Спираль;"С22.14.01.121 | Лист № 1 | 1
С22.14.01.122 | Лист № 2 | 1
";26.06.2025 16:38;С22.14.01.120 СБ Спираль.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С22М.14.01.000 СБ Цилиндр\С22М.14.01.100 СБ Камера\С22.14.01.120 СБ Спираль;04.02.2014 12:54;;;;;;;
;С22.14.01.120-01 СБ;Спираль;"С22.14.01.121 | Лист № 1 | 1
С22.14.01.122 | Лист № 2 | 1
";26.06.2025 16:38;С22.14.01.120-01 СБ Спираль.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000-01 СБ Циклон левый\С22М.14.01.000-01 СБ Цилиндр\С22М.14.01.100-01 СБ Камера\С22.14.01.120-01 СБ Спираль;04.02.2014 12:53;;;;;;;
;С22.14.01.200 СБ;Цилиндр внутренний;"С22.14.01.201 | Лист | 1
С22.14.01.202 | Лист | 2
С22.14.01.203 | Лист | 1
С22.14.01.204 | Лист | 2
";26.06.2025 16:38;С22.14.01.200 СБ Цилиндр внутренний.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С22М.14.01.000 СБ Цилиндр\С22М.14.01.200 СБ Цилиндр внутренний;04.02.2014 10:57;;;;;;;
;С22.14.01.300 СБ;Фланец;"С22.14.01.301 | Уголок | 2
С22.14.01.302 | Уголок | 2
";26.06.2025 16:38;С22.14.01.300 СБ Фланец.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С22М.14.01.000 СБ Цилиндр;30.06.2017 15:31;;;;;;;
;С22.14.02.000 СБ;Конус циклона;"С21.14.02.002-01 | Прижим | 8
С22.14.02.001 | Фланец маленький | 1
С22М.14.01.001 | Фланец | 1
С22.14.02.100 СБ | Конус | 1
С22.14.02.200 СБ | Люк конуса | 1
С22.14.02.300 СБ | Зонт | 1
";26.06.2025 16:38;;;;;;;;;;
;С22.14.02.100 СБ;Конус;"С22.14.02.101 | Лист № 1 | 3
С22.14.02.102 | Лист № 2 | 3
С22.14.02.103 | Лист № 3 | 2
";26.06.2025 16:38;С22.14.02.100 СБ Конус.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С22М.14.02.000 СБ Конус циклона\С22.14.02.100 СБ Конус;10.04.2019 13:45;;;;;;;
;С22.14.02.200 СБ;Люк конуса;"С22.14.02.201 | Люк | 1
";26.06.2025 16:38;С22.14.02.200 СБ Люк конуса.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С22М.14.02.000 СБ Конус циклона\С22.14.02.200 СБ Люк конуса;12.03.2018 13:53;;;;;;;
;С22.14.02.300 СБ;Зонт;"С22.14.02.301 | Ребро | 3
С22.14.02.302 | Диск | 1
С22.14.02.303 | Колпак | 2
С22.14.02.304 | Шайба | 2
";26.06.2025 16:38;С22.14.02.300 СБ Зонт.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С22М.14.02.000 СБ Конус циклона\С22.14.02.300 СБ Зонт;25.10.2017 10:44;;;;;;;
;С22.14.04.100 СБ;Боковина;"С22.14.04.005 | Раскос | 2
С22.14.04.006 | Раскос № 2 | 2
С22.14.04.101 | Стойка | 2
С22.14.04.102 | Опора | 1
С22.14.04.103 | Балка | 1
";26.06.2025 16:38;С22.14.04.100 СБ Боковина.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С22М.14.04.000 СБ Рама циклона;01.06.2021 11:47;;;;;;;
;С22.14.05.000 СБ;Стойка;"С22.14.05.001 | Труба | 1
С22.14.05.002 | Гнутый уголок 63х63 | 1
С22.14.05.003 | Платик | 1
";26.06.2025 16:38;С22.14.05.000 СБ Стойка.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С22.14.05.000 СБ Стойка;25.10.2017 11:06;;;;;;;
;С22М.14.00.000 СБ;Циклон правый;"С22.14.00.001 | Планка | 4
С20.24.10.000 СБ | Логотип-Бренд | 2
С21.14.03.000 СБ | Мешкодержатель | 1
С22.14.02.000 СБ | Конус циклона | 1
С22.14.05.000 СБ | Стойка | 4
С22М.14.01.000 СБ | Цилиндр | 1
С22М.14.04.000 СБ | Рама | 1
";26.06.2025 16:38;С22М.14.00.000 СБ Циклон правый.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый;27.01.2023 15:07;;;;;;;
;С22М.14.01.000 СБ;Цилиндр;"С22М.14.01.002 | Распор | 4
С22М.14.01.100 СБ | Камера | 1
С22М14.01.200 СБ | Цилиндр внутренний | 1
С22.14.01.300 СБ | Фланец | 1
";26.06.2025 16:38;С22М.14.01.000 СБ Цилиндр.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С22М.14.01.000 СБ Цилиндр;30.06.2017 15:34;;;;;;;
;С22М.14.01.000-01 СБ;Цилиндр;"С22М.14.01.002 | Распор | 4
С22М.14.01.100-01 СБ | Камера | 1
С22М14.01.200 СБ | Цилиндр внутренний | 1
С22.14.01.300 СБ | Фланец | 1
";26.06.2025 16:38;С22М.14.01.000-01 СБ Цилиндр.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000-01 СБ Циклон левый\С22М.14.01.000-01 СБ Цилиндр;30.06.2017 15:26;;;;;;;
;С22М.14.01.100 СБ;Камера;"С22.14.01.101 | Стенка малая | 1
С22.14.01.102 | Стенка большая | 1
С22.14.01.103 | Крышка | 1
С22.14.01.104 | Дно | 1
С22.14.01.120 СБ | Спираль | 1
С22М.14.01.130 СБ | Цилиндр внешний | 1
";26.06.2025 16:38;С22М.14.01.100 СБ Камера.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С22М.14.01.000 СБ Цилиндр\С22М.14.01.100 СБ Камера;18.02.2016 14:34;;;;;;;
;С22М.14.01.100-01 СБ;Камера;"С22.14.01.101 | Стенка малая | 1
С22.14.01.102 | Стенка большая | 1
С22.14.01.103-01 | Крышка | 1
С22.14.01.104-01 | Дно | 1
С22.14.01.120-01 СБ | Спираль | 1
С22М.14.01.130-01 СБ | Цилиндр внешний | 1
";26.06.2025 16:38;С22М.14.01.100-01 СБ Камера.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000-01 СБ Циклон левый\С22М.14.01.000-01 СБ Цилиндр\С22М.14.01.100-01 СБ Камера;18.02.2016 14:45;;;;;;;
;С22М.14.01.130 СБ;Цилиндр внешний;"С22М.14.01.131 | Лист | 2
С22М.14.01.132 | Лист | 2
С22М.14.01.133 | Лист № 1 | 1
С22М.14.01.134 | Лист № 2 | 1
С22М.14.01.135 | Лист № 3 | 1
С22М.14.01.136 | Лист № 4 | 1
";26.06.2025 16:38;С22М.14.01.130 СБ Цилиндр внешний.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С22М.14.01.000 СБ Цилиндр\С22М.14.01.100 СБ Камера;28.08.2014 10:09;;;;;;;
;С22М.14.01.130-01 СБ;Цилиндр внешний;"С22М.14.01.131 | Лист | 2
С22М.14.01.132 | Лист | 2
С22М.14.01.133 | Лист № 1 | 1
С22М.14.01.134 | Лист № 2 | 1
С22М.14.01.135 | Лист № 3 | 1
С22М.14.01.136 | Лист № 4 | 1
";26.06.2025 16:38;С22М.14.01.130-01 СБ Цилиндр внешний.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000-01 СБ Циклон левый\С22М.14.01.000-01 СБ Цилиндр\С22М.14.01.100-01 СБ Камера;28.08.2014 10:23;;;;;;;
;С22М.14.04.000 СБ;Рама;"С22.14.04.001 | Балка | 4
С22.14.04.002 | Опора | 2
С22.14.04.003 | Балка | 2
С22.14.04.004 | Направляющие | 2
С22.14.04.005 | Раскос | 4
С22.14.04.006 | Раскос № 2 | 4
С22.14.04.007 | Заглушка | 4
С22.14.04.007-01 | Заглушка | 4
С22.14.04.008 | Косынка грузовая усиленная | 8
С22.14.04.009 | Косынка | 8
С22.14.04.100 СБ | Боковина | 2
";26.06.2025 16:38;С22М.14.04.000 СБ Рама.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.00.000 СБ Циклон правый\С22М.14.04.000 СБ Рама циклона;01.06.2021 11:46;;;;;;;
;С22М.14.10.000 СБ;Зонт циклона;"С22М.14.10.001 | Стойка | 6
С22М.14.10.100 СБ | Фланец | 1
С22М.14.10.200 СБ | Колпак в сборе | 1
";26.06.2025 16:38;С22М.14.10.000 СБ Зонт циклона.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.10.000 СБ Зонт циклона;26.09.2022 10:32;;;;;;;
;С22М.14.10.100 СБ;Фланец;"С22М.14.10.101 | Сектор фланца | 6
";26.06.2025 16:38;С22М.14.10.100 СБ Фланец.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.10.000 СБ Зонт циклона\С22М.14.10.100 СБ Фланец;23.09.2022 16:26;;;;;;;
;С22М.14.10.200 СБ;Колпак в сборе;"С22М.14.10.201 | Колпак №1 | 1
С22М.14.10.202 | Колпак №2 | 1
";26.06.2025 16:38;С22М.14.10.200 СБ Колпак в сборе.cdw;K:\1 ЧЕРТЕЖИ\ЦИКЛОНЫ\С22М.14.10.000 СБ Зонт циклона\С22М.14.10.200 СБ Колпак в сборе;26.09.2022 10:31;;;;;;;
;С22М14.01.200 СБ;Цилиндр внутренний;"С22М.14.01.201 | Фланец | 1
С22М.14.01.202 | Завихритель | 1
С22М.14.01.203 | Завихритель | 2
С22.14.01.200 СБ | Цилиндр внутренний | 1
";26.06.2025 16:38;;;;;;;;;;
;С30.02.03.000А СБ;Лестница внутренняя № 2;"С20.01.13.002А | Проступь | 2
С30.02.03.001А | Стойка | 2
";28.07.2025 14:11;;;;;;;;;;
;С30.06.04.000 СБ;Лестница бункера;"С30.06.04.001 | Стойка | 1
С30.06.04.001-01 | Стойка | 1
С50.06.04.002 | Проступь | 5
С50.06.05.003А | Лапка | 1
С50.06.05.003А-01 | Лапка | 1
";28.07.2025 14:11;С30.06.04.000 СБ - Лестница бункера.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\С30\С30.00.00.000\С30.06.00.000-01 СБ Шахта С30 (верх)\С30.06.04.000 СБ Лестница бункера;19.04.2017 14:28;;;;;;;
