;Номер Сборочного   ;Имя Сборочного;Состав Сборочного;Дата обновления;Чертеж Сборочного;Адрес папки;Дата чертежа;;;;;;;
;БКН-3,2 00.00.000 СБ;Топочный блок вертикальный 3,2;"БКН-3,2 00.00.001 | Дымоход | 8
БКН-3,2 00.00.002 | Ухо строповочное | 2
БКН-3,2 01.00.000 СБ | Камера сгорания | 1
БКН-3,2 02.00.000 СБ | Теплообменник | 1
БКН-3,2 04.00.000 СБ | Опора | 2
БКН-3,2 04.00.000-01 СБ | Опора | 2
БКН-3,2 04.00.000-02 СБ | Опора | 3
БКН-3,2 05.00.000 СБ | Коллектор | 1
БКН-3,2 06.00.000 СБ | Подставка | 2
";17.07.2025 16:32;БКН-3,2 00.00.000 СБ Блок топочный вертикальный 3,2.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-3,2 00.00.000 Блок топочный вертикальный 3,2;17.07.2025 16:15;;;;;;;
;БКН-3,2 01.00.000 СБ;Камера сгорания;"БКН-3,2 01.00.001 | Кронштейн грузовой | 6
БКН-3,2 01.00.002 | Упор | 10
БКН-3,2 01.00.003 | Кронштейн | 12
БКН-3,2 01.01.000 СБ | Развертка трубы | 1
БКН-3,2 01.02.000 СБ | Конус в сборе | 1
БКН-3,2 01.03.000 СБ | Переход в сборе | 4
БКН-3,2 01.04.000 СБ | Дверь | 1
";17.07.2025 16:32;БКН-3,2 01.00.000 СБ Камера сгорания.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-3,2 00.00.000 Блок топочный вертикальный 3,2\БКН-3,2 01. Камера сгорания;17.07.2025 16:15;;;;;;;
;БКН-3,2 01.01.000 СБ;Развертка трубы;"БКН-3,2 01.01.001 | Лист с вырезами №1 | 1
БКН-3,2 01.01.002 | Лист с вырезами №2 | 1
БКН-3,2 01.01.003 | Лист 500х1000 | 1
БКН-3,2 01.01.004 | Лист замыкающий №1 | 1
БКН-3,2 01.01.005 | Лист замыкающий №2 | 1
БКН-3,2 01.01.006 | Лист замыкающий №3 | 1
БКН-3,2 01.01.007 | Лист №1 | 8
БКН-3,2 01.01.008 | Лист №2 | 2
";17.07.2025 16:32;БКН-3,2 01.01.000 СБ Развертка трубы.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-3,2 00.00.000 Блок топочный вертикальный 3,2\БКН-3,2 01. Камера сгорания\БКН-3,2 01.01. Развертка трубы;13.02.2025 11:38;;;;;;;
;БКН-3,2 01.02.000 СБ;Конус в сборе;"БКН-3,2 01.02.001 | Заглушка | 1
БКН-3,2 01.02.100 СБ | Обечайка | 1
БКН-3,2 01.02.200 СБ | Конус | 1
";17.07.2025 16:32;БКН-3,2 01.02.000 СБ Конус в сборе.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-3,2 00.00.000 Блок топочный вертикальный 3,2\БКН-3,2 01. Камера сгорания\БКН-3,2 01.02. Конус в сборе;13.02.2025 13:49;;;;;;;
;БКН-3,2 01.02.100 СБ;Обечайка;"БКН-3,2 01.02.101 | Полоса №1 | 2
БКН-3,2 01.02.102 | Полоса №2 | 1
";17.07.2025 16:32;;;;;;;;;;
;БКН-3,2 01.02.200 СБ;Конус;"БКН-3,2 01.02.201 | Лист №1 | 1
БКН-3,2 01.02.202 | Лист №2 | 1
";17.07.2025 16:32;БКН-3,2 01.02.200 СБ Конус.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-3,2 00.00.000 Блок топочный вертикальный 3,2\БКН-3,2 01. Камера сгорания\БКН-3,2 01.02. Конус в сборе\БКН-3,2 01.02.200 Конус;13.02.2025 13:52;;;;;;;
;БКН-3,2 01.03.000 СБ;Переход в сборе;"БКН-3,2 01.03.001 | Переход | 2
";17.07.2025 16:32;БКН-3,2 01.03.000 СБ Переход в сборе.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-3,2 00.00.000 Блок топочный вертикальный 3,2\БКН-3,2 01. Камера сгорания\БКН-3,2 01.03. Переход в сборе;17.07.2025 16:15;;;;;;;
;БКН-3,2 01.04.000 СБ;Дверь;"БКН-3,2 01.04.001 | Обечайка наружная | 1
БКН-3,2 01.04.002 | Ухо | 1
БКН-3,2 01.04.100 СБ | Патрубок | 1
БКН-3,2 01.04.200 СБ | Отражатель в сборе | 1
БКН-3,2 01.04.300 СБ | Стенка в сборе | 1
";17.07.2025 16:32;БКН-3,2 01.04.000 СБ Дверь.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-3,2 00.00.000 Блок топочный вертикальный 3,2\БКН-3,2 01. Камера сгорания\БКН-3,2 01.04. Дверь;13.02.2025 13:55;;;;;;;
;БКН-3,2 01.04.100 СБ;Патрубок;"БКН-3,2 01.04.101 | Ребро | 10
БКН-3,2 01.04.101-01 | Ребро | 1
БКН-3,2 01.04.101-02 | Ребро | 1
ТБ-0,8МА 04.01.001 | Фланец | 1
ТБ-0,8МА 04.01.002 | Труба | 1
";17.07.2025 16:32;БКН-3,2 01.04.100 СБ Патрубок.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-3,2 00.00.000 Блок топочный вертикальный 3,2\БКН-3,2 01. Камера сгорания\БКН-3,2 01.04. Дверь\БКН-3,2 01.04.1 Патрубок;13.02.2025 13:56;;;;;;;
;БКН-3,2 01.04.200 СБ;Отражатель в сборе;"БКН-3,2 01.04.201 | Отражатель | 2
БКН-3,2 01.04.202 | Обечайка внутренняя | 1
";17.07.2025 16:32;БКН-3,2 01.04.200 СБ Отражатель в сборе.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-3,2 00.00.000 Блок топочный вертикальный 3,2\БКН-3,2 01. Камера сгорания\БКН-3,2 01.04. Дверь\БКН-3,2 01.04.2 Отражатель в сборе;13.02.2025 13:56;;;;;;;
