k:\Обменник\_База деталей\9-я версия\База деталей 9.xlsm
 id: 708;	size: 1160
 id: 711;	size: 2590
 id: 712;	size: 1160
 id: 713;	size: 810
 id: 716;	size: 3500
 id: 717;	size: 4496
 id: 719;	size: 4492
 id: 720;	size: 4600
 id: 721;	size: 2085
 id: 722;	size: 2085
 id: 723;	size: 310
 id: 724;	size: 310
 id: 725;	size: 768
 id: 726;	size: 768
 id: 727;	size: 1440
 id: 728;	size: 130
 id: 732;	size: 50
 id: 734;	size: 920
 id: 735;	size: 933
 id: 736;	size: 640
 id: 737;	size: 862
 id: 741;	size: 1300
 id: 742;	size: 1200
 id: 743;	size: 400
 id: 745;	size: 530
 id: 746;	size: 1700
 id: 748;	size: 394
 id: 749;	size: 61
 id: 750;	size: 4412
 id: 751;	size: 1440
 id: 752;	size: 1542
 id: 753;	size: 1207
 id: 754;	size: 1214
 id: 755;	size: 1214
 id: 756;	size: 6920
 id: 757;	size: 1565
 id: 758;	size: 1585
 id: 759;	size: 1605
 id: 760;	size: 1625
 id: 761;	size: 4500
 id: 762;	size: 600
 id: 764;	size: 4373
 id: 766;	size: 1540
 id: 768;	size: 1200
 id: 771;	size: 4500
 id: 772;	size: 1160
 id: 773;	size: 1075
 id: 775;	size: 3460
 id: 776;	size: 1160
 id: 777;	size: 1100
 id: 781;	size: 293
 id: 782;	size: 690
 id: 783;	size: 576
 id: 784;	size: 3760
 id: 785;	size: 1160
 id: 786;	size: 890
 id: 788;	size: 1200
 id: 789;	size: 240
 id: 922;	size: 12000
 id: 964;	size: 365
 id: 971;	actual_date: 2025-10-09 11:02:40+03:00
=== Times ===
На печать инфы и получение номера детали: 65.6615355014801;
На поиск или создание материала: 45.10268187522888;
На чтение нескольких ячеек: 261.6913962364197;
На чтение и преобразование даты: 44.14320516586304;
На чтение и операции с ФРВ: 143.16811299324036;
На чтение и операции с СДВ: 166.85471987724304;
На чтение Стадий и Расшифровок: 394.69382643699646;
На поиск и сохранение детали в базе: 51.198962926864624;
=============
